heart_rate,spo2,label
154.1,87.63,Danger
81.1,83.04,Danger
115.4,96.13,Warning
87.0,92.6,Warning
40.3,90.1,Danger
44.4,94.65,Danger
24.3,99.61,Danger
96.5,90.15,Warning
88.0,98.9,Normal
64.0,96.83,Normal
121.6,83.68,Danger
114.5,95.05,Warning
99.0,96.99,Normal
75.0,97.47,Normal
87.0,99.13,Normal
77.0,95.15,Normal
65.0,95.71,Normal
27.6,88.28,Danger
54.6,97.78,Warning
74.0,96.81,Normal
161.7,85.22,Danger
72.9,92.25,Warning
64.7,94.71,Warning
65.0,98.02,Normal
132.4,97.88,Danger
35.7,86.85,Danger
109.7,99.8,Warning
112.1,96.58,Warning
73.0,98.11,Normal
65.8,91.99,Warning
99.0,99.9,Normal
66.0,90.24,Warning
64.9,83.45,Danger
72.0,98.07,Normal
86.0,98.54,Normal
79.0,98.39,Normal
34.8,95.7,Danger
30.9,91.7,Danger
123.5,83.15,Danger
61.0,95.76,Normal
97.0,99.08,Normal
94.0,98.32,Normal
169.3,89.62,Danger
96.0,95.13,Normal
145.1,92.88,Danger
98.2,88.68,Danger
87.8,91.38,Warning
79.0,98.02,Normal
94.0,98.02,Normal
29.1,97.81,Danger
66.2,91.96,Warning
114.4,96.69,Warning
89.0,99.55,Normal
25.3,91.32,Danger
99.0,95.06,Normal
73.0,95.13,Normal
91.0,95.37,Normal
53.3,97.42,Warning
43.2,91.58,Danger
96.8,72.49,Danger
123.1,72.51,Danger
80.0,97.2,Normal
20.4,94.37,Danger
68.0,97.14,Normal
81.0,95.08,Normal
117.1,97.87,Warning
93.7,94.6,Warning
79.0,97.47,Normal
35.2,96.65,Danger
64.0,96.3,Normal
117.7,96.37,Warning
92.0,95.62,Normal
87.0,93.58,Warning
45.8,81.62,Danger
111.2,96.57,Warning
70.0,98.29,Normal
98.1,86.75,Danger
83.5,91.35,Warning
84.0,92.68,Warning
55.0,97.48,Warning
54.5,96.46,Warning
89.0,95.21,Normal
85.0,98.93,Normal
88.0,95.11,Normal
23.1,85.96,Danger
51.2,95.07,Warning
112.7,96.11,Warning
107.5,99.18,Warning
71.0,95.67,Normal
104.6,98.14,Warning
108.4,81.56,Danger
166.0,80.01,Danger
75.4,93.43,Warning
137.4,80.53,Danger
113.6,97.25,Warning
125.8,75.43,Danger
178.6,96.32,Danger
69.8,90.46,Warning
120.0,80.68,Danger
85.0,96.09,Normal
51.3,98.69,Warning
115.9,99.58,Warning
90.0,95.61,Normal
58.9,97.43,Warning
54.4,97.75,Warning
58.6,97.61,Warning
72.0,97.54,Normal
90.0,99.74,Normal
52.9,96.28,Warning
69.0,97.04,Normal
30.0,86.3,Danger
57.7,95.25,Warning
65.9,93.17,Warning
21.0,81.28,Danger
57.5,98.79,Warning
71.0,98.08,Normal
91.0,95.92,Normal
139.4,97.68,Danger
95.9,94.83,Warning
65.0,98.99,Normal
117.4,96.47,Warning
76.0,99.11,Normal
101.1,99.1,Warning
48.5,95.63,Danger
61.7,93.95,Warning
54.6,99.63,Warning
73.9,89.25,Danger
67.0,96.26,Normal
159.0,94.11,Danger
108.7,96.02,Warning
87.0,98.74,Normal
101.4,97.54,Warning
80.0,97.93,Normal
62.0,95.7,Normal
65.0,97.4,Normal
69.0,97.49,Normal
88.0,90.34,Warning
85.0,98.5,Normal
99.0,97.1,Normal
109.5,83.69,Danger
93.1,80.07,Danger
107.1,98.81,Warning
131.9,93.01,Danger
65.5,92.07,Warning
69.1,90.97,Warning
64.0,95.29,Normal
94.0,99.91,Normal
37.8,93.34,Danger
29.0,85.49,Danger
46.7,84.89,Danger
71.0,98.8,Normal
178.8,92.56,Danger
54.6,96.6,Warning
92.2,90.27,Warning
125.2,74.34,Danger
52.1,95.33,Warning
72.0,97.44,Normal
95.0,99.97,Normal
87.0,99.6,Normal
71.0,95.26,Normal
75.1,90.71,Warning
77.0,99.73,Normal
91.5,90.65,Warning
65.0,91.21,Warning
60.0,97.81,Normal
108.5,97.08,Warning
86.0,99.03,Normal
55.8,98.65,Warning
84.0,98.85,Normal
94.0,96.86,Normal
65.0,96.91,Normal
47.3,98.0,Danger
141.7,92.85,Danger
95.0,96.18,Normal
56.4,73.21,Danger
177.3,80.76,Danger
122.5,89.23,Danger
61.3,92.89,Warning
155.0,89.69,Danger
101.7,97.45,Warning
86.0,98.3,Normal
72.0,99.63,Normal
109.4,96.0,Warning
83.0,99.67,Normal
83.0,98.29,Normal
99.0,96.68,Normal
53.8,97.26,Warning
38.8,99.16,Danger
60.0,98.24,Normal
113.4,96.92,Warning
104.9,99.68,Warning
101.4,96.57,Warning
52.4,98.49,Warning
60.1,91.2,Warning
38.6,87.42,Danger
95.0,74.28,Danger
63.2,88.26,Danger
51.1,97.44,Warning
97.7,76.34,Danger
32.8,94.48,Danger
87.0,97.02,Normal
44.6,88.32,Danger
84.0,98.47,Normal
82.0,97.35,Normal
118.1,72.89,Danger
115.5,78.06,Danger
58.0,96.96,Warning
38.7,93.29,Danger
108.8,97.77,Warning
72.0,97.46,Normal
61.0,98.44,Normal
71.0,99.85,Normal
56.8,97.5,Warning
81.0,98.63,Normal
37.7,88.5,Danger
80.0,96.83,Normal
80.0,96.57,Normal
84.0,98.96,Normal
69.0,99.07,Normal
81.0,98.42,Normal
55.7,96.47,Warning
40.2,80.64,Danger
66.0,98.02,Normal
76.0,99.7,Normal
74.0,99.55,Normal
55.0,77.31,Danger
60.0,99.45,Normal
40.2,98.49,Danger
56.7,96.99,Warning
102.4,97.17,Warning
133.6,82.68,Danger
51.8,99.5,Warning
114.9,98.18,Warning
173.5,95.89,Danger
51.1,86.59,Danger
107.3,98.2,Warning
108.9,98.99,Warning
42.9,89.57,Danger
46.9,93.97,Danger
68.0,95.35,Normal
62.7,91.96,Warning
50.2,82.42,Danger
22.7,88.93,Danger
52.2,96.92,Warning
87.0,99.51,Normal
78.0,98.26,Normal
87.6,94.1,Warning
45.7,97.85,Danger
177.3,80.95,Danger
114.1,95.3,Warning
66.6,91.29,Warning
91.0,99.44,Normal
71.0,98.12,Normal
110.0,99.28,Warning
67.0,96.24,Normal
103.8,96.42,Warning
45.9,97.25,Danger
93.0,98.52,Normal
175.5,92.65,Danger
96.0,99.56,Normal
62.0,99.0,Normal
97.9,83.82,Danger
138.1,98.77,Danger
76.0,97.53,Normal
85.0,99.61,Normal
63.9,78.7,Danger
118.9,97.11,Warning
90.0,95.66,Normal
82.0,95.56,Normal
51.9,97.89,Warning
32.1,94.96,Danger
94.5,91.15,Warning
57.6,96.36,Warning
93.0,98.0,Normal
61.0,98.45,Normal
64.0,96.45,Normal
70.0,97.98,Normal
32.4,87.76,Danger
85.0,99.57,Normal
90.7,77.7,Danger
85.0,95.17,Normal
67.0,97.09,Normal
132.2,98.9,Danger
57.9,97.71,Warning
113.8,97.12,Warning
67.9,92.44,Warning
61.0,95.66,Normal
69.9,88.45,Danger
87.7,90.26,Warning
63.0,96.8,Normal
68.0,99.51,Normal
103.6,99.77,Warning
52.2,99.56,Warning
60.0,97.26,Normal
20.3,83.61,Danger
107.6,97.27,Warning
101.1,98.8,Warning
62.0,96.79,Normal
95.0,99.02,Normal
112.1,99.18,Warning
83.0,96.34,Normal
62.0,95.55,Normal
53.3,95.81,Warning
130.7,82.3,Danger
117.9,99.29,Warning
64.0,97.94,Normal
106.6,75.99,Danger
110.5,98.83,Warning
95.0,99.09,Normal
115.0,95.77,Warning
140.8,98.2,Danger
76.0,96.51,Normal
95.6,92.13,Warning
53.4,97.74,Warning
85.0,96.78,Normal
75.0,96.72,Normal
76.0,97.02,Normal
62.2,91.31,Warning
57.9,96.31,Warning
81.0,97.5,Normal
93.0,96.59,Normal
77.0,98.91,Normal
103.3,83.59,Danger
89.0,95.32,Normal
111.9,96.52,Warning
90.7,94.56,Warning
81.0,96.48,Normal
86.9,92.66,Warning
92.0,96.65,Normal
52.0,99.45,Warning
82.9,89.66,Danger
109.2,96.61,Warning
20.8,94.79,Danger
80.8,86.92,Danger
65.0,99.28,Normal
59.5,80.18,Danger
55.7,98.47,Warning
78.0,95.45,Normal
109.9,97.22,Warning
67.0,98.99,Normal
116.8,74.25,Danger
63.8,81.68,Danger
82.0,96.06,Normal
100.8,77.79,Danger
78.0,96.18,Normal
132.6,85.57,Danger
38.4,92.21,Danger
96.0,95.04,Normal
112.7,98.71,Warning
111.1,96.53,Warning
170.7,92.6,Danger
98.5,90.5,Warning
66.0,99.25,Normal
86.4,90.26,Warning
64.0,96.99,Normal
106.4,71.93,Danger
56.6,97.62,Warning
141.3,88.96,Danger
56.4,95.65,Warning
93.0,99.08,Normal
95.0,98.04,Normal
111.3,97.74,Warning
71.0,97.02,Normal
40.1,83.62,Danger
105.5,98.58,Warning
93.6,73.05,Danger
79.0,95.93,Normal
108.6,95.21,Warning
68.9,92.15,Warning
39.8,98.16,Danger
52.2,95.66,Warning
173.5,88.4,Danger
68.5,92.1,Warning
30.7,99.57,Danger
53.4,99.12,Warning
88.6,75.59,Danger
37.2,91.26,Danger
91.0,97.12,Normal
58.4,98.37,Warning
155.5,85.68,Danger
72.0,96.46,Normal
108.5,98.23,Warning
62.0,97.54,Normal
53.7,99.23,Warning
24.8,86.57,Danger
30.0,81.82,Danger
37.5,92.26,Danger
43.2,95.17,Danger
63.0,96.61,Normal
96.0,98.04,Normal
76.5,91.12,Warning
56.6,97.96,Warning
76.0,96.11,Normal
99.2,86.92,Danger
90.4,91.55,Warning
75.8,91.03,Warning
84.4,89.81,Danger
88.2,92.23,Warning
37.1,84.82,Danger
44.7,93.78,Danger
37.2,91.17,Danger
92.0,96.38,Normal
77.0,96.47,Normal
51.8,95.59,Warning
72.0,96.92,Normal
121.9,72.77,Danger
114.3,96.72,Warning
108.8,96.95,Warning
92.0,97.15,Normal
80.2,76.58,Danger
69.0,98.68,Normal
89.0,96.31,Normal
62.0,95.71,Normal
90.0,99.61,Normal
62.0,95.5,Normal
50.6,74.78,Danger
69.0,96.24,Normal
102.6,99.0,Warning
104.8,95.23,Warning
95.0,97.23,Normal
55.5,98.0,Warning
44.4,80.28,Danger
68.0,96.51,Normal
70.3,75.13,Danger
69.5,90.8,Warning
115.6,96.23,Warning
51.3,98.1,Warning
109.3,95.78,Warning
88.0,98.8,Normal
88.0,97.0,Normal
110.1,98.71,Warning
46.9,85.68,Danger
68.7,92.44,Warning
127.6,76.55,Danger
149.5,90.51,Danger
51.6,97.52,Warning
32.2,80.01,Danger
164.9,98.81,Danger
67.0,97.93,Normal
155.9,92.71,Danger
65.0,80.33,Danger
27.8,88.39,Danger
113.0,73.85,Danger
52.2,98.66,Warning
82.9,92.52,Warning
42.1,94.22,Danger
125.8,95.66,Danger
76.0,95.05,Normal
72.4,92.3,Warning
155.9,81.47,Danger
168.9,87.59,Danger
110.2,97.52,Warning
54.1,72.74,Danger
58.3,97.98,Warning
37.3,96.48,Danger
108.3,85.18,Danger
58.7,99.65,Warning
118.1,96.51,Warning
113.2,99.39,Warning
85.0,99.68,Normal
105.5,97.2,Warning
51.7,97.18,Warning
101.8,98.71,Warning
78.0,98.96,Normal
107.6,96.27,Warning
55.3,96.89,Warning
70.0,96.45,Normal
112.2,98.31,Warning
76.0,98.34,Normal
84.6,91.31,Warning
68.0,98.29,Normal
62.7,94.36,Warning
79.8,90.35,Warning
91.1,91.38,Warning
58.0,95.9,Warning
169.8,99.78,Danger
23.9,97.37,Danger
99.0,99.26,Normal
83.0,92.39,Warning
79.0,96.63,Normal
82.0,99.55,Normal
64.0,96.67,Normal
87.8,70.97,Danger
116.8,99.52,Warning
161.2,93.59,Danger
87.5,90.09,Warning
97.0,95.32,Normal
61.0,97.75,Normal
65.0,95.99,Normal
63.6,90.61,Warning
28.9,90.67,Danger
57.9,95.65,Warning
69.6,73.08,Danger
89.1,92.9,Warning
83.0,99.26,Normal
102.3,96.27,Warning
57.0,97.71,Warning
105.7,97.66,Warning
164.4,97.27,Danger
175.4,80.46,Danger
105.7,98.99,Warning
134.1,85.31,Danger
97.0,95.82,Normal
57.7,97.44,Warning
98.0,97.33,Normal
63.3,90.13,Warning
54.3,76.57,Danger
58.3,95.37,Warning
77.7,89.78,Danger
44.1,99.15,Danger
109.8,98.99,Warning
61.0,99.71,Normal
56.3,98.95,Warning
65.0,98.09,Normal
87.0,99.85,Normal
25.6,84.77,Danger
129.8,86.33,Danger
87.9,94.55,Warning
32.0,89.46,Danger
92.0,97.67,Normal
96.0,99.98,Normal
58.7,99.46,Warning
134.4,87.77,Danger
54.9,98.71,Warning
66.0,97.68,Normal
93.0,96.39,Normal
148.4,83.79,Danger
89.4,94.39,Warning
88.1,91.62,Warning
96.0,97.52,Normal
70.0,99.48,Normal
146.6,89.9,Danger
56.4,98.85,Warning
54.5,99.47,Warning
119.0,82.86,Danger
81.0,99.66,Normal
69.0,99.06,Normal
87.0,97.18,Normal
53.3,98.13,Warning
67.5,92.51,Warning
52.3,95.94,Warning
97.3,90.07,Warning
70.0,99.18,Normal
76.0,95.33,Normal
86.0,97.2,Normal
84.0,98.36,Normal
98.0,95.81,Normal
112.9,76.03,Danger
54.8,76.72,Danger
35.9,91.1,Danger
89.1,93.6,Warning
117.8,97.05,Warning
80.4,91.91,Warning
179.6,94.52,Danger
35.1,86.65,Danger
113.9,99.06,Warning
92.8,92.63,Warning
116.1,95.37,Warning
73.0,97.07,Normal
129.8,95.83,Danger
80.0,97.94,Normal
30.7,85.23,Danger
151.3,96.85,Danger
117.1,96.36,Warning
97.0,95.95,Normal
51.8,96.3,Warning
25.5,93.31,Danger
79.0,95.22,Normal
56.7,99.75,Warning
97.0,96.19,Normal
88.8,92.8,Warning
67.0,99.87,Normal
92.7,94.42,Warning
93.0,98.09,Normal
117.8,97.8,Warning
99.0,96.15,Normal
134.4,96.69,Danger
141.6,84.38,Danger
93.0,98.4,Normal
51.9,85.53,Danger
171.1,83.32,Danger
99.0,96.78,Normal
154.6,85.46,Danger
90.8,86.23,Danger
66.0,98.53,Normal
97.0,98.6,Normal
58.8,99.48,Warning
70.6,90.3,Warning
89.5,90.27,Warning
89.4,91.93,Warning
89.0,97.31,Normal
68.0,97.24,Normal
68.7,72.1,Danger
159.3,86.55,Danger
87.9,73.21,Danger
88.8,94.4,Warning
23.7,88.97,Danger
84.0,96.5,Normal
61.0,95.09,Normal
117.9,80.46,Danger
104.3,76.33,Danger
60.0,95.34,Normal
74.2,90.36,Warning
99.0,97.52,Normal
78.0,98.97,Normal
42.0,99.82,Danger
78.0,96.98,Normal
38.9,81.51,Danger
64.0,96.68,Normal
90.0,95.78,Normal
75.0,98.35,Normal
177.0,83.56,Danger
63.0,99.78,Normal
91.0,95.13,Normal
54.9,96.83,Warning
51.2,99.58,Warning
72.0,98.64,Normal
56.6,99.83,Warning
155.9,90.08,Danger
101.1,99.09,Warning
36.3,83.51,Danger
70.3,92.99,Warning
74.0,97.73,Normal
68.0,97.46,Normal
80.6,92.99,Warning
64.0,99.55,Normal
74.0,98.94,Normal
56.6,95.21,Warning
66.0,96.49,Normal
60.6,94.6,Warning
55.0,98.07,Warning
28.3,80.23,Danger
160.5,80.22,Danger
53.8,96.63,Warning
133.2,92.33,Danger
123.1,88.41,Danger
52.5,95.94,Warning
84.0,98.58,Normal
102.9,98.88,Warning
25.7,80.03,Danger
52.2,96.65,Warning
168.0,93.55,Danger
102.0,96.1,Warning
113.3,98.61,Warning
75.0,92.87,Warning
123.5,75.61,Danger
31.6,83.37,Danger
87.8,79.15,Danger
105.0,97.82,Warning
94.0,95.68,Normal
92.1,73.67,Danger
51.9,75.67,Danger
